Below are the simulation results for the test trials
WORLD	TASK	SUCCESS	STEPS	LOWEST_CLEARANCE
151	6	1	136	0.073	
151	6	1	137	0.077	
152	6	1	85	0.099	
152	6	1	80	0.103	
152	6	1	250	0.051	
152	6	1	250	0.746	
152	6	1	250	0.059	
153	6	1	170	0.053	
153	6	1	129	0.079	
153	6	1	138	0.068	
153	6	1	127	0.058	
153	6	1	143	0.056	
154	6	1	131	0.106	
154	6	1	150	0.100	
154	6	1	140	0.091	
154	6	1	172	0.020	
154	6	1	250	0.031	
155	6	1	122	0.092	
155	6	1	169	0.081	
155	6	1	170	0.086	
155	6	1	90	0.081	
155	6	1	151	0.099	
156	6	1	78	0.133	
156	6	1	78	0.152	
156	6	1	250	0.448	
156	6	1	250	0.425	
156	6	1	250	0.045	
157	6	1	125	0.058	
157	6	1	150	0.078	
157	6	1	204	0.070	
157	6	1	250	0.063	
157	6	1	250	0.070	
158	6	1	250	0.062	
158	6	1	232	0.059	
158	6	1	134	0.076	
158	6	1	164	0.069	
158	6	1	145	0.063	
159	6	1	80	0.130	
159	6	1	84	0.141	
159	6	1	250	1.589	
159	6	1	250	0.084	
159	6	1	250	1.384	
160	6	1	181	0.089	
160	6	1	171	0.067	
160	6	1	130	0.075	
160	6	1	124	0.061	
160	6	1	118	0.079	
161	6	1	73	0.148	
161	6	1	77	0.139	
161	6	1	250	0.041	
161	6	1	250	0.064	
161	6	1	250	0.070	
162	6	1	200	0.066	
162	6	1	193	0.063	
162	6	1	250	0.082	
162	6	1	250	0.054	
162	6	1	250	0.246	
163	6	1	138	0.102	
163	6	1	135	0.082	
163	6	1	250	0.045	
163	6	1	250	0.054	
163	6	1	250	0.107	
164	6	1	163	0.067	
164	6	1	144	0.076	
164	6	1	145	0.120	
164	6	1	181	0.072	
164	6	1	135	0.120	
165	6	1	196	0.072	
165	6	1	200	0.075	
165	6	1	130	0.084	
165	6	1	125	0.085	
165	6	1	139	0.081	
166	6	1	142	0.091	
166	6	1	142	0.102	
166	6	1	111	0.111	
166	6	1	158	0.078	
166	6	1	112	0.126	
167	6	1	95	0.077	
167	6	1	61	0.073	
167	6	1	87	0.065	
167	6	1	101	0.061	
167	6	1	143	0.053	
168	6	1	201	0.060	
168	6	1	205	0.053	
168	6	1	250	0.050	
168	6	1	250	0.045	
168	6	1	250	0.068	
169	6	1	209	0.056	
169	6	1	233	0.064	
169	6	1	133	0.058	
169	6	1	118	0.063	
169	6	1	179	0.058	
170	6	1	87	0.096	
170	6	1	95	0.099	
170	6	1	250	0.077	
170	6	1	250	1.765	
170	6	1	250	0.052	
171	6	1	250	0.062	
171	6	1	238	0.059	
171	6	1	113	0.077	
171	6	1	169	0.074	
171	6	1	165	0.061	
172	6	1	234	0.064	
172	6	1	250	0.073	
172	6	1	120	0.073	
172	6	1	121	0.073	
172	6	1	122	0.069	
173	6	1	126	0.053	
173	6	1	103	0.046	
173	6	1	179	0.065	
173	6	1	250	0.054	
173	6	1	146	0.044	
174	6	1	84	0.108	
174	6	1	95	0.129	
174	6	1	250	0.063	
174	6	1	250	0.856	
174	6	1	250	0.096	
175	6	1	236	0.074	
175	6	1	229	0.046	
175	6	1	137	0.078	
175	6	1	114	0.066	
175	6	1	146	0.054	
176	6	1	167	0.048	
176	6	1	124	0.055	
176	6	1	250	0.163	
176	6	1	250	0.248	
176	6	1	250	0.067	
177	6	1	112	0.067	
177	6	1	93	0.080	
177	6	1	250	1.556	
177	6	1	250	0.226	
177	6	1	250	1.149	
178	6	1	155	0.067	
178	6	1	117	0.067	
178	6	1	250	0.048	
178	6	1	250	0.891	
178	6	1	250	0.038	
179	6	1	163	0.062	
179	6	1	236	0.058	
179	6	1	138	0.046	
179	6	1	129	0.054	
179	6	1	99	0.072	
180	6	1	250	0.059	
180	6	1	250	0.055	
180	6	1	127	0.074	
180	6	1	144	0.064	
180	6	1	175	0.057	
181	6	1	97	0.071	
181	6	1	172	0.066	
181	6	1	250	0.062	
181	6	1	250	0.043	
181	6	1	250	0.713	
182	6	1	113	0.074	
182	6	1	113	0.083	
182	6	1	223	0.082	
182	6	1	250	0.126	
182	6	1	250	0.230	
183	6	1	70	0.118	
183	6	1	127	0.066	
183	6	1	189	0.077	
183	6	1	154	0.082	
183	6	1	190	0.096	
184	6	1	145	0.071	
184	6	1	206	0.067	
184	6	1	127	0.064	
184	6	1	119	0.063	
184	6	1	117	0.068	
185	6	1	124	0.080	
185	6	1	128	0.088	
185	6	1	250	0.061	
185	6	1	250	0.060	
185	6	1	230	0.032	
