Below are the simulation results for the test trials
WORLD	TASK	SUCCESS	STEPS	LOWEST_CLEARANCE
176	8	1	68	0.030
196	8	1	72	0.042
196	8	1	72	0.038
196	8	1	59	0.032
196	8	1	60	0.060
196	8	1	66	0.027
213	8	1	87	0.031
213	8	1	78	0.035
213	8	1	61	0.025
213	8	1	61	0.028
213	8	1	62	0.026
225	8	1	70	0.025
225	8	1	62	0.046
225	8	1	61	0.034
225	8	1	62	0.024
225	8	1	61	0.030
226	8	1	76	0.026
226	8	1	62	0.075
226	8	1	60	0.057
226	8	1	75	0.054
226	8	1	60	0.050
232	8	1	70	0.042
232	8	1	65	0.030
232	8	1	61	0.017
232	8	1	61	0.022
232	8	1	61	0.009
269	8	1	68	0.019
269	8	1	66	0.032
269	8	1	62	0.010
269	8	1	60	0.040
269	8	1	59	0.017
7	8	1	70	0.064
7	8	0	51	0.000
7	8	0	63	0.000
7	8	0	47	0.000
7	8	0	46	0.000
13	8	1	117	0.015
13	8	1	67	0.076
13	8	1	59	0.036
13	8	1	59	0.027
13	8	1	59	0.030
27	8	1	73	0.152
27	8	1	70	0.114
27	8	1	59	0.089
27	8	1	59	0.049
27	8	1	59	0.071
104	8	1	91	0.031
104	8	1	138	0.015
104	8	1	60	0.036
104	8	1	62	0.028
104	8	1	62	0.044
142	8	1	69	0.052
142	8	1	65	0.051
142	8	0	44	0.000
142	8	1	59	0.059
142	8	1	59	0.062
183	8	1	95	0.067
183	8	1	83	0.061
183	8	1	79	0.025
183	8	1	81	0.020
183	8	1	79	0.052
193	8	1	63	0.054
193	8	0	46	0.000
193	8	1	67	0.022
193	8	1	70	0.018
193	8	0	28	0.000
195	8	1	67	0.027
195	8	1	86	0.032
195	8	1	61	0.040
195	8	1	62	0.032
195	8	1	61	0.028
277	8	1	250	1.776
277	8	1	250	1.776
277	8	1	250	1.776
277	8	1	250	1.776
277	8	1	250	1.776
280	8	1	87	0.039
280	8	1	81	0.058
280	8	0	39	0.001
280	8	1	75	0.019
280	8	1	64	0.004
284	8	1	72	0.062
284	8	1	77	0.052
284	8	1	67	0.027
284	8	1	67	0.039
284	8	1	64	0.052
292	8	0	64	0.008
292	8	0	31	0.000
292	8	1	84	0.029
292	8	0	67	0.013
292	8	1	96	0.020
2	8	0	41	0.004
2	8	1	75	0.044
2	8	0	26	0.007
2	8	1	59	0.030
2	8	1	60	0.044
6	8	1	66	0.078
6	8	1	68	0.061
6	8	1	66	0.033
6	8	1	66	0.076
6	8	1	67	0.043
30	8	1	78	0.055
30	8	1	83	0.085
30	8	1	76	0.011
30	8	1	76	0.022
30	8	1	78	0.028
35	8	1	60	0.045
35	8	1	63	0.004
35	8	1	59	0.036
35	8	1	59	0.050
35	8	1	59	0.050
45	8	1	78	0.008
45	8	1	71	0.061
45	8	1	28	0.027
45	8	1	32	0.025
45	8	1	29	0.027
256	9	0	30	0.022
256	9	1	77	0.031
256	9	0	46	0.026
256	9	1	71	0.024
256	9	1	73	0.015
252	9	1	74	0.039
252	9	0	44	0.029
252	9	1	80	0.030
252	9	0	37	0.022
252	9	0	37	0.003
201	9	0	47	0.029
201	9	1	77	0.029
201	9	0	49	0.012
201	9	1	70	0.032
201	9	1	70	0.050
86	9	1	77	0.077
86	9	1	73	0.054
86	9	0	26	0.000
86	9	0	26	0.011
86	9	0	68	0.000
150	9	1	81	0.059
150	9	1	108	0.029
150	9	1	77	0.026
150	9	0	57	0.000
150	9	0	45	0.000
235	9	1	82	0.042
235	9	1	77	0.027
235	9	1	73	0.019
235	9	1	79	0.042
235	9	1	74	0.030
241	9	1	82	0.042
241	9	1	78	0.071
241	9	1	78	0.024
241	9	0	45	0.016
241	9	1	76	0.027
218	9	1	74	0.020
218	9	1	72	0.007
218	9	1	68	0.029
218	9	0	51	0.007
218	9	0	31	0.025
43	9	1	78	0.073
43	9	1	88	0.074
43	9	1	78	0.054
43	9	0	26	0.032
43	9	1	88	0.058
46	9	1	74	0.034
46	9	1	76	0.028
46	9	1	74	0.048
46	9	1	76	0.037
46	9	1	73	0.011
137	9	1	87	0.039
137	9	1	85	0.026
137	9	1	59	0.001
137	9	0	49	0.000
137	9	0	65	0.006
171	9	1	90	0.063
171	9	1	94	0.037
171	9	1	82	0.041
171	9	1	83	0.034
171	9	1	86	0.045
238	9	1	85	0.067
238	9	1	93	0.079
238	9	1	74	0.035
238	9	1	75	0.056
238	9	1	75	0.045
251	9	1	70	0.044
251	9	1	74	0.045
251	9	0	41	0.000
251	9	0	42	0.000
251	9	0	45	0.020
4	9	1	86	0.053
4	9	0	38	0.001
4	9	0	34	0.000
4	9	1	78	0.019
4	9	0	32	0.009
151	9	1	71	0.063
151	9	1	73	0.047
151	9	1	69	0.052
151	9	1	69	0.042
151	9	1	69	0.053
162	9	1	73	0.072
162	9	1	74	0.078
162	9	1	72	0.027
162	9	1	70	0.021
162	9	1	70	0.019
224	9	1	82	0.021
224	9	0	40	0.004
224	9	1	76	0.041
224	9	1	74	0.030
224	9	1	76	0.047
253	9	0	46	0.016
253	9	0	28	0.016
253	9	1	84	0.035
253	9	1	76	0.022
253	9	1	72	0.035
267	9	0	57	0.027
267	9	1	77	0.038
267	9	0	54	0.022
267	9	0	53	0.011
267	9	1	71	0.024
273	9	1	103	0.034
273	9	1	91	0.050
273	9	0	43	0.000
273	9	1	86	0.028
273	9	0	39	0.000
278	9	1	84	0.050
278	9	1	94	0.040
278	9	1	75	0.046
278	9	0	38	0.013
278	9	1	73	0.038
78	9	1	83	0.079
78	9	1	77	0.077
78	9	1	70	0.014
78	9	1	70	0.007
78	9	1	72	0.056
89	9	1	250	1.776
89	9	1	250	1.776
89	9	1	250	1.776
89	9	1	250	1.776
89	9	1	250	1.776
124	9	1	92	0.044
124	9	1	79	0.033
124	9	0	43	0.000
124	9	1	74	0.034
124	9	0	55	0.000
144	9	1	73	0.053
144	9	1	77	0.038
144	9	1	69	0.035
144	9	1	69	0.028
144	9	1	69	0.030
176	9	1	82	0.018
176	9	1	86	0.030
176	9	1	75	0.041
176	9	1	75	0.017
176	9	1	75	0.045
196	9	1	68	0.028
196	9	1	68	0.068
196	9	1	51	0.037
196	9	1	68	0.031
196	9	1	68	0.029
213	9	1	79	0.031
213	9	1	73	0.038
213	9	1	70	0.031
213	9	1	71	0.037
213	9	1	76	0.023
225	9	1	75	0.044
225	9	1	75	0.050
225	9	0	28	0.005
225	9	1	70	0.048
225	9	1	71	0.038
226	9	1	72	0.031
226	9	1	73	0.065
226	9	1	69	0.067
226	9	0	43	0.001
226	9	1	70	0.050
232	9	0	50	0.000
232	9	1	75	0.014
232	9	1	70	0.003
232	9	1	70	0.023
232	9	1	70	0.060
269	9	1	78	0.049
269	9	1	80	0.040
269	9	1	68	0.032
269	9	1	76	0.034
269	9	1	68	0.020
7	9	0	55	0.000
7	9	0	53	0.000
7	9	1	84	0.060
7	9	1	99	0.052
7	9	0	52	0.000
13	9	1	71	0.050
13	9	0	29	0.000
13	9	1	70	0.035
13	9	1	67	0.020
13	9	1	69	0.016
27	9	1	68	0.160
27	9	1	68	0.151
27	9	1	68	0.037
27	9	1	69	0.068
27	9	1	68	0.035
104	9	1	77	0.025
104	9	1	79	0.033
104	9	1	73	0.016
104	9	1	74	0.014
104	9	1	73	0.012
142	9	1	69	0.034
142	9	1	70	0.055
142	9	1	68	0.041
142	9	1	68	0.032
142	9	1	77	0.034
183	9	1	83	0.087
183	9	1	83	0.093
183	9	1	76	0.056
183	9	1	80	0.056
183	9	1	82	0.052
193	9	0	32	0.030
193	9	1	85	0.008
193	9	1	76	0.040
193	9	0	29	0.019
193	9	0	48	0.003
195	9	0	58	0.021
195	9	0	39	0.025
195	9	1	73	0.023
195	9	1	81	0.017
195	9	1	70	0.010
277	9	1	250	1.776
277	9	1	250	1.776
277	9	1	250	1.776
277	9	1	250	1.776
277	9	1	250	1.776
280	9	1	86	0.024
280	9	1	77	0.028
280	9	1	90	0.061
280	9	1	73	0.019
280	9	1	74	0.025
284	9	1	76	0.035
284	9	1	76	0.058
284	9	1	73	0.040
284	9	1	72	0.047
284	9	0	53	0.000
292	9	1	94	0.062
292	9	1	84	0.054
292	9	0	67	0.026
292	9	0	64	0.013
292	9	0	44	0.000
2	9	0	33	0.004
2	9	1	74	0.057
2	9	1	67	0.040
2	9	0	58	0.022
2	9	1	68	0.041
6	9	1	73	0.086
6	9	1	75	0.046
6	9	1	70	0.049
6	9	1	69	0.044
6	9	1	70	0.069
30	9	1	87	0.100
30	9	1	82	0.129
30	9	1	79	0.027
30	9	1	82	0.020
30	9	1	83	0.067
35	9	1	75	0.026
35	9	0	61	0.014
35	9	1	69	0.024
35	9	1	68	0.036
35	9	1	72	0.038
45	9	1	88	0.060
45	9	1	93	0.049
45	9	1	75	0.040
45	9	1	83	0.033
45	9	1	34	0.059
